"replicate","truepopsize","afpopsize","genopopsize","rarefreqcutoff","raregeno_mean","raregeno_sd","rarealleles_mean","rarealleles_sd","findgeno_mean","findgeno_sd","findalleles_mean","findalleles_sd"
1,20000,100,50,0.1,0.03272,0.00510717782205813,0.03272,0.00510717782205813,0.00324618736383442,0.00853029508246134,0.0883877995642701,0.0653604546580166
2,20000,100,50,0.1,0.03476,0.00607289058027559,0.03476,0.00607289058027559,0.00240352811466373,0.00702882026014925,0.0869900771775083,0.0620980044211128
3,20000,100,50,0.1,0.03402,0.00640309236515722,0.03402,0.00640309236515722,0.00296619411123228,0.00835432268006384,0.0917339149400218,0.0642605153854535
4,20000,100,50,0.1,0.03118,0.00465850111656756,0.03118,0.00465850111656756,0.00284153005464481,0.00803520848123411,0.0865136612021858,0.0660645743650399
5,20000,100,50,0.1,0.0334,0.00462027475108464,0.0334,0.00462027475108464,0.00278867102396514,0.00753479765934947,0.0882135076252723,0.0650615860621455
6,20000,100,50,0.1,0.03062,0.0050704828091975,0.03062,0.0050704828091975,0.00299441340782123,0.0082450562821076,0.0928491620111732,0.065959063272764
7,20000,100,50,0.1,0.03446,0.00599050268750291,0.03446,0.00599050268750291,0.00281009879253568,0.00790090738224141,0.0890889132821076,0.0676053821092406
8,20000,100,50,0.1,0.03436,0.00566320022025479,0.03436,0.00566320022025479,0.00286644951140065,0.00777625799202865,0.0907926167209555,0.0664137344179725
9,20000,100,50,0.1,0.0316,0.0058554004376912,0.0316,0.0058554004376912,0.00285714285714286,0.00766253501609348,0.0880879120879121,0.0665847100774485
10,20000,100,50,0.1,0.03442,0.00587311411329246,0.03442,0.00587311411329246,0.00261723009814613,0.00765799007376758,0.0864340239912759,0.0636519539594108
11,20000,100,50,0.1,0.03444,0.00686654117843198,0.03444,0.00686654117843198,0.00292737430167598,0.008132727220714,0.0943240223463687,0.0678065252738162
12,20000,100,50,0.1,0.03316,0.00430642614269059,0.03316,0.00430642614269059,0.00261437908496732,0.00776744107733968,0.0897821350762527,0.0669620933720156
13,20000,100,50,0.1,0.03302,0.00687939840749026,0.03302,0.00687939840749026,0.00360869565217391,0.00890153673781383,0.0923260869565217,0.0668702003365483
14,20000,100,50,0.1,0.03668,0.00530859910803179,0.03668,0.00530859910803179,0.00296619411123228,0.00808875115302448,0.0867175572519084,0.0641931774059169
15,20000,100,50,0.1,0.03332,0.00604554145040553,0.03332,0.00604554145040553,0.00307692307692308,0.00845518929094266,0.0901098901098901,0.0661414044349375
16,20000,100,50,0.1,0.03472,0.00522958616226671,0.03472,0.00522958616226671,0.00306188925081433,0.00853162099847587,0.0889902280130293,0.0642748929281583
17,20000,100,50,0.1,0.03452,0.00621794637664697,0.03452,0.00621794637664697,0.00246424642464246,0.00733707680516804,0.0871947194719472,0.064968193968987
18,20000,100,50,0.1,0.03494,0.00479119089622628,0.03494,0.00479119089622628,0.00305676855895197,0.00800553415378138,0.0960480349344978,0.0691406571924842
19,20000,100,50,0.1,0.03242,0.00517486073952424,0.03242,0.00517486073952424,0.00242024202420242,0.00747060816031547,0.0882288228822882,0.0659799763114037
20,20000,100,50,0.1,0.03392,0.00524828446217603,0.03392,0.00524828446217603,0.00349344978165939,0.00930485276168307,0.0883187772925764,0.0658812553009838
21,20000,100,50,0.1,0.03502,0.00520396238358771,0.03502,0.00520396238358771,0.00245033112582781,0.00756264919678679,0.0879470198675497,0.063409407749237
22,20000,100,50,0.1,0.0336,0.00617103173327291,0.0336,0.00617103173327291,0.00253583241455347,0.00804015758843938,0.0893495038588754,0.0661518439194845
23,20000,100,50,0.1,0.03564,0.0059204246951911,0.03564,0.0059204246951911,0.00274725274725275,0.00761648580584629,0.0887252747252747,0.0678826506257309
24,20000,100,50,0.1,0.03424,0.00560815732406185,0.03424,0.00560815732406185,0.00308546059933407,0.0084210331600141,0.0953607103218646,0.0685355363551996
